episode_id,sku_id,fc,category,subcategory,date,hour_of_day,hours_remaining,q,original_price,cost,current_discount
15379100|BUC2|2026-08-29T10,15379100,BUC2,SEAFOOD,FISH,2026-08-29,11,5,22,10980.0,7620.0,0.15
15154237|GWJ2|2026-08-29T10,15154237,GWJ2,SIDE DISH,KIMCHI,2026-08-29,11,5,25,5860.0,3510.0,0.1
15623739|BUC2|2026-08-29T10,15623739,BUC2,FRUIT,BERRY,2026-08-29,11,6,26,17200.0,12290.0,0.2
15632320|BUC2|2026-08-29T10,15632320,BUC2,FRUIT,CITRUS,2026-08-29,11,9,10,19390.0,13050.0,0.15
15207946|GWJ2|2026-08-29T10,15207946,GWJ2,MEAT,BEEF,2026-08-29,11,4,14,16250.0,10500.0,0.15
15110429|GWJ2|2026-08-29T10,15110429,GWJ2,FRUIT,BERRY,2026-08-29,11,5,29,9610.0,6060.0,0.15
15266024|BUC2|2026-08-29T10,15266024,BUC2,SEAFOOD,SHELLFISH,2026-08-29,11,2,14,25240.0,16820.0,0.15
15622275|GWJ2|2026-08-29T10,15622275,GWJ2,SIDE DISH,BANCHAN,2026-08-29,11,9,21,7350.0,4200.0,0.15
15622275|BSN1|2026-08-29T10,15622275,BSN1,SIDE DISH,BANCHAN,2026-08-29,11,7,12,7350.0,4200.0,0.15
15841610|ICN3|2026-08-29T10,15841610,ICN3,SEAFOOD,SHELLFISH,2026-08-29,11,9,10,28540.0,22140.0,0.15
15092411|ICN3|2026-08-29T10,15092411,ICN3,SIDE DISH,KIMCHI,2026-08-29,11,6,19,4440.0,2460.0,0.15
15834465|DAJ1|2026-08-29T10,15834465,DAJ1,SIDE DISH,KIMCHI,2026-08-29,11,6,27,7040.0,4720.0,0.1
